team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Arsenal,West Brom,16:00,4,1,1.34,5.56,8.83,1,0,0,1
Aston Villa,Burnley,16:00,0,1,2.22,3.47,3.35,0,0,1,0
Chelsea,Sunderland,16:00,3,1,1.3,5.7,10.7,1,0,0,1
Crystal Palace,Swansea,16:00,1,0,1.77,3.85,4.74,1,0,0,1
Everton,Tottenham,16:00,0,1,2.32,3.52,3.09,0,0,1,0
Hull,Manchester Utd,16:00,0,0,3.15,3.61,2.26,0,1,0,0
Leicester,QPR,16:00,5,1,1.5,4.67,6.31,1,0,0,1
Manchester City,Southampton,16:00,2,0,1.61,4.23,5.54,1,0,0,1
Newcastle,West Ham,16:00,2,0,1.74,3.91,4.75,1,0,0,1
Stoke,Liverpool,16:00,6,1,3.37,3.5,2.2,1,0,0,0
Arsenal,Sunderland,20:45,0,0,1.28,5.99,11.38,0,1,0,0
West Brom,Chelsea,21:00,3,0,5.32,3.71,1.72,1,0,0,0
Manchester Utd,Arsenal,17:00,1,1,2.58,3.35,2.88,0,1,0,0
Swansea,Manchester City,14:30,2,4,4.72,4.03,1.73,0,0,1,1
Liverpool,Crystal Palace,18:30,1,3,1.46,4.62,7.46,0,0,1,0
Burnley,Stoke,16:00,0,0,2.58,3.27,2.9,0,1,0,0
QPR,Newcastle,16:00,2,1,3.17,3.48,2.31,1,0,0,0
Sunderland,Leicester,16:00,0,0,2.98,3.24,2.54,0,1,0,0
Tottenham,Hull,16:00,2,0,1.84,3.74,4.37,1,0,0,1
West Ham,Everton,16:00,1,2,2.5,3.41,2.9,0,0,1,0
Southampton,Aston Villa,13:45,6,1,1.75,3.81,4.9,1,0,0,1
Arsenal,Swansea,21:00,0,1,1.32,5.64,9.87,0,0,1,0
Chelsea,Liverpool,17:00,1,1,2.13,3.41,3.65,0,1,0,0
Manchester City,QPR,14:30,6,0,1.19,7.57,14.77,1,0,0,1
Crystal Palace,Manchester Utd,18:30,1,2,4.63,3.55,1.85,0,0,1,1
Aston Villa,West Ham,16:00,1,0,1.8,3.74,4.66,1,0,0,1
Hull,Burnley,16:00,0,1,1.89,3.52,4.45,0,0,1,0
Leicester,Southampton,16:00,2,0,2.74,3.29,2.71,1,0,0,0
Newcastle,West Brom,16:00,1,1,2.22,3.33,3.48,0,1,0,0
Stoke,Tottenham,16:00,3,0,3.25,3.41,2.29,1,0,0,0
Everton,Sunderland,13:45,0,2,1.69,3.78,5.43,0,0,1,0
Hull,Arsenal,21:00,1,3,5.16,3.76,1.73,0,0,1,1
Tottenham,Manchester City,17:00,0,1,3.33,3.58,2.18,0,0,1,1
Chelsea,Crystal Palace,14:30,1,0,1.32,5.29,11.17,1,0,0,1
Manchester Utd,West Brom,18:30,0,1,1.38,4.83,9.4,0,0,1,0
Aston Villa,Everton,16:00,3,2,2.61,3.23,2.88,1,0,0,1
Liverpool,QPR,16:00,2,1,1.36,5.26,9.09,1,0,0,1
Sunderland,Southampton,16:00,2,1,4.06,3.35,2.03,1,0,0,0
Swansea,Stoke,16:00,2,0,2.25,3.31,3.45,1,0,0,1
West Ham,Burnley,16:00,1,0,2.3,3.38,3.27,1,0,0,1
Leicester,Newcastle,13:45,3,0,1.84,3.66,4.52,1,0,0,1
Leicester,Chelsea,20:45,1,3,4.93,3.76,1.76,0,0,1,1
Hull,Liverpool,20:45,1,0,3.95,3.38,2.06,1,0,0,0
Arsenal,Chelsea,17:00,0,0,2.47,3.22,3.14,0,1,0,0
Everton,Manchester Utd,14:30,3,0,4.1,3.36,2.02,1,0,0,0
Manchester City,Aston Villa,18:30,3,2,1.27,6.08,12.24,1,0,0,1
Burnley,Leicester,16:00,0,1,2.76,3.26,2.71,0,0,1,1
Crystal Palace,Hull,16:00,0,2,2.0,3.33,4.2,0,0,1,0
QPR,West Ham,16:00,0,0,2.26,3.42,3.32,0,1,0,0
Stoke,Sunderland,16:00,1,1,1.82,3.42,5.13,0,1,0,0
Newcastle,Swansea,16:00,2,3,2.36,3.23,3.29,0,0,1,0
West Brom,Liverpool,16:00,0,0,4.38,3.51,1.91,0,1,0,0
Southampton,Tottenham,13:45,2,2,2.03,3.48,3.86,0,1,0,0
Newcastle,Tottenham,17:00,1,3,2.99,3.36,2.46,0,0,1,1
Manchester City,West Ham,14:30,2,0,1.26,6.38,11.81,1,0,0,1
Chelsea,Manchester Utd,18:30,1,0,1.95,3.48,4.29,1,0,0,1
