team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Arsenal,Everton,16:00,3,1,1.36,5.68,7.84,1,0,0,1
Burnley,West Ham,16:00,1,2,2.32,3.48,3.15,0,0,1,0
Chelsea,Sunderland,16:00,5,1,1.1,10.88,25.63,1,0,0,1
Hull,Tottenham,16:00,1,7,9.46,6.23,1.3,0,0,1,1
Leicester,Bournemouth,16:00,1,1,1.7,4.35,4.61,0,1,0,0
Liverpool,Middlesbrough,16:00,3,0,1.13,9.62,22.05,1,0,0,1
Manchester Utd,Crystal Palace,16:00,2,0,2.32,3.38,3.23,1,0,0,1
Southampton,Stoke,16:00,0,1,1.64,4.2,5.34,0,0,1,0
Swansea,West Brom,16:00,2,1,2.29,3.39,3.28,1,0,0,1
Watford,Manchester City,16:00,0,5,18.7,9.1,1.15,0,0,1,1
Leicester,Tottenham,20:45,1,6,4.09,3.91,1.87,0,0,1,1
Southampton,Manchester Utd,20:45,0,0,2.37,3.26,3.25,0,1,0,0
Manchester City,West Brom,21:00,3,1,1.15,8.7,19.13,1,0,0,1
Arsenal,Sunderland,20:45,2,0,1.11,11.0,22.34,1,0,0,1
Chelsea,Watford,21:00,4,3,1.28,6.21,10.75,1,0,0,1
Tottenham,Manchester Utd,17:30,2,1,1.65,3.96,5.72,1,0,0,1
West Ham,Liverpool,15:15,0,4,5.8,4.06,1.63,0,0,1,1
Crystal Palace,Hull,13:00,4,0,1.94,3.62,4.14,1,0,0,1
Stoke,Arsenal,18:30,1,4,5.16,4.19,1.66,0,0,1,1
Bournemouth,Burnley,16:00,2,1,1.83,3.85,4.37,1,0,0,1
Middlesbrough,Southampton,16:00,1,2,3.86,3.45,2.06,0,0,1,1
Sunderland,Swansea,16:00,0,2,3.36,3.48,2.22,0,0,1,1
Manchester City,Leicester,13:30,2,1,1.22,7.26,12.39,1,0,0,1
West Brom,Chelsea,21:00,0,1,9.64,5.03,1.36,0,0,1,1
Everton,Watford,20:45,1,0,1.42,4.81,7.98,1,0,0,1
Southampton,Arsenal,20:45,0,2,3.35,3.69,2.15,0,0,1,1
Chelsea,Middlesbrough,21:00,3,0,1.14,9.28,22.15,1,0,0,1
Arsenal,Manchester Utd,17:00,2,0,2.12,3.54,3.59,1,0,0,1
Liverpool,Southampton,14:30,0,0,1.59,4.16,6.03,0,1,0,0
Swansea,Everton,18:30,1,0,2.53,3.46,2.88,1,0,0,1
Bournemouth,Stoke,16:00,2,2,2.33,3.46,3.16,0,1,0,0
Burnley,West Brom,16:00,2,2,2.54,3.01,3.24,0,1,0,0
Hull,Sunderland,16:00,0,2,1.54,4.41,6.28,0,0,1,0
Leicester,Watford,16:00,3,0,1.66,3.84,5.81,1,0,0,1
Manchester City,Crystal Palace,13:30,5,0,1.25,6.85,11.44,1,0,0,1
West Ham,Tottenham,21:00,1,0,8.12,5.15,1.4,1,0,0,0
Watford,Liverpool,21:00,0,1,5.7,4.25,1.61,0,0,1,1
Tottenham,Arsenal,17:30,2,0,1.8,4.11,4.29,1,0,0,1
Everton,Chelsea,15:05,0,3,4.38,3.7,1.84,0,0,1,1
Middlesbrough,Manchester City,15:05,2,2,11.4,6.11,1.27,0,1,0,0
Manchester Utd,Swansea,13:00,1,1,1.42,4.72,8.49,0,1,0,0
Crystal Palace,Burnley,18:30,0,2,1.82,3.49,5.09,0,0,1,0
Southampton,Hull,16:00,0,0,1.58,4.19,6.21,0,1,0,0
Stoke,West Ham,16:00,0,0,2.01,3.44,4.05,0,1,0,0
Sunderland,Bournemouth,16:00,0,1,3.34,3.61,2.18,0,0,1,1
West Brom,Leicester,16:00,0,1,2.77,3.24,2.75,0,0,1,1
Manchester City,Manchester Utd,21:00,0,0,1.93,3.49,4.42,0,1,0,0
Crystal Palace,Tottenham,21:00,0,1,5.81,4.39,1.58,0,0,1,1
Arsenal,Leicester,20:45,1,0,1.47,4.93,6.7,1,0,0,1
Middlesbrough,Sunderland,20:45,1,0,2.17,3.4,3.6,1,0,0,1
Chelsea,Southampton,20:45,4,2,1.45,4.7,7.68,1,0,0,1
Liverpool,Crystal Palace,17:30,1,2,1.51,4.41,6.99,0,0,1,0
Burnley,Manchester Utd,15:15,0,2,5.48,3.51,1.76,0,0,1,1
Bournemouth,Middlesbrough,16:00,4,0,1.86,3.7,4.37,1,0,0,1
Hull,Watford,16:00,2,0,1.88,3.63,4.41,1,0,0,1
Swansea,Stoke,16:00,2,0,2.31,3.48,3.17,1,0,0,1
West Ham,Everton,16:00,0,0,3.67,3.65,2.05,0,1,0,0
Middlesbrough,Arsenal,21:00,1,2,6.35,4.72,1.51,0,0,1,1
Manchester Utd,Chelsea,17:00,2,0,2.8,3.15,2.77,1,0,0,0
West Brom,Liverpool,14:30,0,1,4.56,3.68,1.84,0,0,1,1
Southampton,Manchester City,18:30,0,3,4.62,4.05,1.75,0,0,1,1
Crystal Palace,Leicester,16:00,2,2,2.03,3.47,3.97,0,1,0,0
Everton,Burnley,16:00,3,1,1.52,4.16,7.31,1,0,0,1
Stoke,Hull,16:00,3,1,1.97,3.45,4.1,1,0,0,1
Sunderland,West Ham,16:00,2,2,2.71,3.4,2.65,0,1,0,0
Watford,Swansea,16:00,1,0,2.7,3.17,2.86,1,0,0,1
Tottenham,Bournemouth,13:30,4,0,1.24,6.79,12.57,1,0,0,1
Crystal Palace,Arsenal,21:00,3,0,4.62,4.1,1.74,1,0,0,0
Everton,Leicester,17:00,4,2,1.76,3.86,4.84,1,0,0,1
Sunderland,Manchester Utd,14:30,0,3,8.88,4.99,1.39,0,0,1,1
Bournemouth,Chelsea,18:30,1,3,6.4,4.36,1.54,0,0,1,1
Manchester City,Hull,16:00,3,1,1.18,7.89,15.79,1,0,0,1
Middlesbrough,Burnley,16:00,0,0,2.52,3.1,3.17,0,1,0,0
Stoke,Liverpool,16:00,1,2,3.41,3.3,2.28,0,0,1,1
West Brom,Southampton,16:00,0,1,3.03,3.24,2.52,0,0,1,1
West Ham,Swansea,16:00,1,0,2.18,3.39,3.57,1,0,0,1
Tottenham,Watford,13:30,4,0,1.23,6.7,13.97,1,0,0,1
Chelsea,Manchester City,21:00,2,1,2.22,3.37,3.5,1,0,0,1
Liverpool,Bournemouth,21:00,2,2,1.45,4.73,7.72,0,1,0,0
Arsenal,West Ham,20:45,3,0,1.42,5.28,7.2,1,0,0,1
Hull,Middlesbrough,20:45,4,2,2.06,3.26,4.16,1,0,0,1
Southampton,Crystal Palace,20:45,3,1,1.87,3.55,4.65,1,0,0,1
Swansea,Tottenham,20:45,1,3,5.44,3.92,1.69,0,0,1,1
Manchester Utd,Everton,21:00,1,1,1.59,4.06,6.37,0,1,0,0
Burnley,Stoke,20:45,1,0,2.47,3.12,3.26,1,0,0,1
Leicester,Sunderland,20:45,2,0,1.51,4.42,7.17,1,0,0,1
Watford,West Brom,20:45,2,0,2.47,3.14,3.23,1,0,0,1
Arsenal,Manchester City,17:00,2,2,2.88,3.75,2.39,0,1,0,0
Swansea,Middlesbrough,14:30,0,0,1.91,3.43,4.64,0,1,0,0
Southampton,Bournemouth,18:30,0,0,1.66,4.04,5.46,0,1,0,0
Burnley,Tottenham,16:00,0,2,5.06,3.74,1.76,0,0,1,1
Chelsea,Crystal Palace,16:00,1,2,1.34,5.23,10.49,0,0,1,0
Hull,West Ham,16:00,2,1,2.38,3.38,3.18,1,0,0,1
Leicester,Stoke,16:00,2,0,1.91,3.55,4.41,1,0,0,1
Manchester Utd,West Brom,16:00,0,0,1.39,4.91,9.2,0,1,0,0
Watford,Sunderland,16:00,1,0,1.95,3.55,4.19,1,0,0,1
Liverpool,Everton,13:30,3,1,1.73,3.79,5.32,1,0,0,1
Manchester City,Liverpool,17:30,1,1,1.95,3.76,3.93,0,1,0,0
Tottenham,Southampton,15:15,2,1,1.71,3.87,5.34,1,0,0,1
Middlesbrough,Manchester Utd,13:00,1,3,5.86,3.82,1.67,0,0,1,1
Bournemouth,Swansea,18:30,2,0,2.16,3.49,3.53,1,0,0,1
Crystal Palace,Watford,16:00,1,0,1.91,3.44,4.6,1,0,0,1
Everton,Hull,16:00,4,0,1.58,4.1,6.51,1,0,0,1
Stoke,Chelsea,16:00,1,2,5.84,3.74,1.69,0,0,1,1
Sunderland,Burnley,16:00,0,0,2.65,3.17,2.96,0,1,0,0
West Ham,Leicester,16:00,2,3,2.38,3.4,3.13,0,0,1,0
West Brom,Arsenal,13:30,3,1,5.58,4.12,1.64,1,0,0,0
Liverpool,Burnley,17:00,2,1,1.28,6.01,12.15,1,0,0,1
Bournemouth,West Ham,16:00,3,2,2.55,3.48,2.83,1,0,0,1
Everton,West Brom,16:00,3,0,1.65,3.87,5.98,1,0,0,1
Hull,Swansea,16:00,2,1,2.49,3.29,3.06,1,0,0,1
Manchester City,Stoke,21:00,0,0,1.23,6.9,13.23,0,1,0,0
West Ham,Chelsea,21:00,1,2,5.96,4.18,1.6,0,0,1,1
Sunderland,Manchester City,17:00,0,2,10.93,6.39,1.28,0,0,1,1
Tottenham,Everton,14:30,3,2,1.61,4.26,5.77,1,0,0,1
Liverpool,Arsenal,18:30,3,1,1.99,3.63,3.96,1,0,0,1
