team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Manchester Utd,Bournemouth,21:00,3,1,1.49,4.6,6.9,1,0,0,1
Arsenal,Aston Villa,16:00,4,0,1.11,11.04,23.85,1,0,0,1
Chelsea,Leicester,16:00,1,1,2.01,3.82,3.63,0,1,0,0
Everton,Norwich,16:00,3,0,1.72,4.16,4.67,1,0,0,1
Newcastle,Tottenham,16:00,5,1,5.05,4.03,1.7,1,0,0,0
Southampton,Crystal Palace,16:00,4,1,1.28,6.24,10.93,1,0,0,1
Stoke,West Ham,16:00,2,1,3.01,3.81,2.27,1,0,0,0
Swansea,Manchester City,16:00,1,1,6.82,4.95,1.46,0,1,0,0
Watford,Sunderland,16:00,2,2,1.65,4.26,5.21,0,1,0,0
West Brom,Liverpool,16:00,1,1,2.62,3.55,2.69,0,1,0,0
Liverpool,Chelsea,21:00,1,1,1.69,4.27,4.76,0,1,0,0
Norwich,Watford,20:45,4,2,1.86,3.86,4.22,1,0,0,1
Sunderland,Everton,20:45,3,0,1.84,3.88,4.27,1,0,0,1
West Ham,Manchester Utd,20:45,3,2,3.09,3.52,2.34,1,0,0,0
Liverpool,Watford,17:00,2,0,1.56,4.33,6.18,1,0,0,1
Manchester City,Arsenal,17:00,2,2,2.22,3.61,3.26,0,1,0,0
Tottenham,Southampton,14:30,1,2,2.2,3.4,3.48,0,0,1,0
Leicester,Everton,18:30,3,1,1.83,3.79,3.87,1,0,0,1
Aston Villa,Newcastle,16:00,0,0,5.1,4.02,1.69,0,1,0,0
Bournemouth,West Brom,16:00,1,1,1.91,3.6,4.27,0,1,0,0
Crystal Palace,Stoke,16:00,2,1,2.02,3.48,3.99,1,0,0,1
Sunderland,Chelsea,16:00,3,2,3.16,3.59,2.26,1,0,0,0
West Ham,Swansea,16:00,1,4,1.35,5.46,9.22,0,0,1,0
Norwich,Manchester Utd,13:45,0,1,3.86,3.48,2.05,0,0,1,1
Chelsea,Tottenham,21:00,2,2,2.58,3.47,2.78,0,1,0,0
Southampton,Manchester City,17:30,4,2,2.42,3.45,3.03,1,0,0,1
Swansea,Liverpool,13:00,3,1,3.54,3.49,2.14,1,0,0,0
Arsenal,Norwich,18:30,1,0,1.26,6.27,12.76,1,0,0,1
Everton,Bournemouth,16:00,2,1,2.41,3.65,2.89,1,0,0,1
Stoke,Sunderland,16:00,1,1,2.93,3.37,2.51,0,1,0,0
Watford,Aston Villa,16:00,3,2,1.73,3.75,5.31,1,0,0,1
West Brom,West Ham,16:00,0,3,3.91,3.55,2.0,0,0,1,1
Tottenham,West Brom,21:00,1,1,1.22,6.75,14.34,0,1,0,0
Sunderland,Arsenal,15:05,0,0,5.4,4.14,1.65,0,1,0,0
Aston Villa,Southampton,16:00,2,4,6.9,4.15,1.54,0,0,1,1
Bournemouth,Chelsea,16:00,1,4,3.48,3.56,2.15,0,0,1,1
Liverpool,Newcastle,16:00,2,2,1.51,4.66,6.43,0,1,0,0
