team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Cardiff,Chelsea,16:00,1,2,8.07,4.91,1.4,0,0,1,1
Fulham,Crystal Palace,16:00,2,2,2.58,3.5,2.72,0,1,0,0
Hull,Everton,16:00,0,2,3.6,3.43,2.11,0,0,1,1
Liverpool,Newcastle,16:00,2,1,1.18,8.28,14.17,1,0,0,1
Manchester City,West Ham,16:00,2,0,1.17,8.68,14.0,1,0,0,1
Norwich,Arsenal,16:00,0,2,5.01,3.93,1.69,0,0,1,1
Southampton,Manchester Utd,16:00,1,1,2.79,3.64,2.44,0,1,0,0
Sunderland,Swansea,16:00,1,3,2.25,3.44,3.24,0,0,1,0
Tottenham,Aston Villa,16:00,3,0,1.47,4.41,7.22,1,0,0,1
West Brom,Stoke,16:00,1,2,2.2,3.45,3.34,0,0,1,0
Manchester City,Aston Villa,20:45,4,0,1.16,8.94,16.05,1,0,0,1
Sunderland,West Brom,20:45,2,0,2.05,3.08,4.38,1,0,0,1
Manchester Utd,Hull,20:45,3,1,1.44,4.72,7.06,1,0,0,1
Crystal Palace,Liverpool,21:00,3,3,7.84,5.37,1.38,0,1,0,0
Chelsea,Norwich,17:00,0,0,1.2,7.28,14.43,0,1,0,0
Arsenal,West Brom,14:30,1,0,1.38,5.05,8.31,1,0,0,1
Everton,Manchester City,18:30,2,3,4.8,4.08,1.7,0,0,1,1
Aston Villa,Hull,16:00,3,1,2.59,3.02,3.13,1,0,0,1
Manchester Utd,Sunderland,16:00,0,1,1.42,5.13,7.17,0,0,1,0
Newcastle,Cardiff,16:00,3,0,1.93,3.76,3.95,1,0,0,1
Stoke,Fulham,16:00,4,1,2.25,3.48,3.26,1,0,0,1
Swansea,Southampton,16:00,0,1,2.36,3.39,3.11,0,0,1,0
West Ham,Tottenham,13:45,2,0,3.82,3.72,1.97,1,0,0,0
Arsenal,Newcastle,21:00,3,0,1.23,6.57,12.72,1,0,0,1
Crystal Palace,Manchester City,17:10,0,2,7.92,5.06,1.39,0,0,1,1
Liverpool,Chelsea,15:05,0,2,1.67,3.95,5.15,0,0,1,0
Sunderland,Cardiff,13:00,4,0,1.76,3.81,4.69,1,0,0,1
Manchester Utd,Norwich,18:30,4,0,1.3,5.76,10.31,1,0,0,1
Fulham,Hull,16:00,2,2,2.36,3.39,3.14,0,1,0,0
Stoke,Tottenham,16:00,0,1,3.51,3.45,2.15,0,0,1,1
Swansea,Aston Villa,16:00,4,1,1.67,3.84,5.6,1,0,0,1
West Brom,West Ham,16:00,1,0,1.87,3.68,4.36,1,0,0,1
Southampton,Everton,13:45,2,0,2.8,3.47,2.54,1,0,0,0
Manchester City,West Brom,21:00,3,1,1.22,7.11,12.4,1,0,0,1
Everton,Manchester Utd,17:10,2,0,2.58,3.46,2.76,1,0,0,1
Hull,Arsenal,15:05,0,3,4.94,3.74,1.76,0,0,1,1
