team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Burnley,Bournemouth,16:00,1,2,2.35,3.46,3.07,0,0,1,0
Crystal Palace,West Brom,16:00,2,0,1.76,3.85,4.67,1,0,0,1
Huddersfield,Arsenal,16:00,0,1,5.61,4.71,1.54,0,0,1,1
Liverpool,Brighton,16:00,4,0,1.22,7.16,12.72,1,0,0,1
Manchester Utd,Watford,16:00,1,0,1.52,4.33,6.55,1,0,0,1
Newcastle,Chelsea,16:00,3,0,4.64,3.83,1.77,1,0,0,0
Southampton,Manchester City,16:00,0,1,6.09,4.56,1.52,0,0,1,1
Swansea,Stoke,16:00,1,2,2.03,3.54,3.77,0,0,1,0
Tottenham,Leicester,16:00,5,4,1.37,5.46,7.89,1,0,0,1
West Ham,Everton,16:00,3,1,2.3,3.39,3.21,1,0,0,1
West Ham,Manchester Utd,20:45,0,0,4.5,3.8,1.8,0,1,0,0
Manchester City,Brighton,21:00,3,1,1.19,7.36,15.61,1,0,0,1
Tottenham,Newcastle,21:00,1,0,1.21,7.16,14.12,1,0,0,1
Chelsea,Huddersfield,20:45,1,1,1.25,5.73,14.79,0,1,0,0
Leicester,Arsenal,20:45,3,1,3.79,3.86,1.94,1,0,0,0
Swansea,Southampton,20:45,0,1,3.3,3.19,2.38,0,0,1,1
Arsenal,Burnley,17:30,5,0,1.41,4.97,7.64,1,0,0,1
Chelsea,Liverpool,17:30,1,0,2.16,3.65,3.3,1,0,0,1
Manchester City,Huddersfield,14:30,0,0,1.08,12.55,28.81,0,1,0,0
Everton,Southampton,18:30,1,1,2.79,3.27,2.66,0,1,0,0
Bournemouth,Swansea,16:00,1,0,1.99,3.58,3.93,1,0,0,1
Leicester,West Ham,16:00,0,2,2.25,3.47,3.28,0,0,1,0
Watford,Newcastle,16:00,2,1,2.17,3.3,3.65,1,0,0,1
West Brom,Tottenham,16:00,1,0,7.33,4.49,1.47,1,0,0,0
Stoke,Crystal Palace,13:30,1,2,2.51,3.45,2.84,0,0,1,0
Brighton,Manchester Utd,21:00,1,0,4.87,3.47,1.84,1,0,0,0
Tottenham,Watford,21:00,2,0,1.17,8.34,16.19,1,0,0,1
Manchester Utd,Arsenal,17:30,2,1,1.38,5.33,7.99,1,0,0,1
West Ham,Manchester City,15:15,1,4,9.35,5.69,1.33,0,0,1,1
Swansea,Chelsea,18:30,0,1,7.63,4.69,1.44,0,0,1,1
Burnley,Brighton,16:00,0,0,2.35,3.1,3.46,0,1,0,0
Crystal Palace,Leicester,16:00,5,0,2.07,3.52,3.72,1,0,0,1
Huddersfield,Everton,16:00,0,2,2.66,3.03,2.99,0,0,1,0
Newcastle,West Brom,16:00,0,1,1.95,3.34,4.43,0,0,1,0
Southampton,Bournemouth,16:00,2,1,1.68,4.07,5.02,1,0,0,1
Liverpool,Stoke,13:30,0,0,1.29,5.86,11.23,0,1,0,0
Everton,Newcastle,21:00,1,0,2.16,3.29,3.68,1,0,0,1
Manchester City,Swansea,17:30,5,0,1.13,9.36,20.51,1,0,0,1
Arsenal,West Ham,14:30,4,1,1.51,4.53,6.45,1,0,0,1
Stoke,Burnley,14:30,1,1,2.22,3.36,3.43,0,1,0,0
Watford,Crystal Palace,16:00,0,0,3.05,3.28,2.45,0,1,0,0
West Brom,Liverpool,13:30,2,2,6.31,4.01,1.59,0,1,0,0
Burnley,Chelsea,20:45,1,2,4.42,3.52,1.88,0,0,1,1
Leicester,Southampton,20:45,0,0,2.39,3.43,3.03,0,1,0,0
Bournemouth,Manchester Utd,20:45,0,2,4.47,3.82,1.81,0,0,1,1
Brighton,Tottenham,20:45,1,1,6.32,4.24,1.55,0,1,0,0
West Ham,Stoke,21:00,1,1,1.98,3.46,4.09,0,1,0,0
Manchester Utd,West Brom,17:00,0,1,1.2,7.05,17.03,0,0,1,0
Newcastle,Arsenal,14:30,2,1,2.86,3.47,2.49,1,0,0,0
Tottenham,Manchester City,20:45,1,3,2.75,3.59,2.51,0,0,1,1
Liverpool,Bournemouth,18:30,3,0,1.23,6.96,12.97,1,0,0,1
Burnley,Leicester,16:00,2,1,2.6,3.14,2.98,1,0,0,1
Crystal Palace,Brighton,16:00,3,2,1.84,3.46,4.87,1,0,0,1
Huddersfield,Watford,16:00,1,0,2.56,3.15,3.02,1,0,0,1
Swansea,Everton,16:00,1,1,2.69,3.15,2.86,0,1,0,0
Southampton,Chelsea,13:30,2,3,4.63,3.74,1.8,0,0,1,1
Chelsea,West Ham,17:30,1,1,1.3,5.71,10.99,0,1,0,0
Arsenal,Southampton,15:15,3,2,1.76,3.79,4.85,1,0,0,1
Manchester City,Manchester Utd,18:30,2,3,1.84,3.68,4.53,0,0,1,0
Bournemouth,Crystal Palace,16:00,2,2,2.59,3.49,2.75,0,1,0,0
Brighton,Huddersfield,16:00,1,1,1.73,3.61,5.55,0,1,0,0
Leicester,Newcastle,16:00,1,2,1.86,3.55,4.64,0,0,1,0
Stoke,Tottenham,16:00,1,2,11.01,5.96,1.29,0,0,1,1
Watford,Burnley,16:00,1,2,2.33,3.18,3.42,0,0,1,0
West Brom,Swansea,16:00,1,1,2.43,3.17,3.25,0,1,0,0
Everton,Liverpool,13:30,0,0,3.64,3.43,2.13,0,1,0,0
Chelsea,Tottenham,17:00,1,3,2.31,3.38,3.26,0,0,1,0
Arsenal,Stoke,14:30,3,0,1.3,5.87,10.57,1,0,0,1
Everton,Manchester City,18:30,1,3,9.52,5.25,1.35,0,0,1,1
Brighton,Leicester,16:00,0,2,2.76,3.24,2.74,0,0,1,1
Manchester Utd,Swansea,16:00,2,0,1.23,6.43,14.84,1,0,0,1
Newcastle,Huddersfield,16:00,1,0,1.76,3.6,5.27,1,0,0,1
Watford,Bournemouth,16:00,2,2,2.26,3.46,3.28,0,1,0,0
West Brom,Burnley,16:00,1,2,2.58,3.04,3.14,0,0,1,0
West Ham,Southampton,16:00,3,0,2.86,3.18,2.7,1,0,0,0
Crystal Palace,Liverpool,13:30,1,2,6.71,4.66,1.49,0,0,1,1
Liverpool,Watford,18:30,5,0,1.17,8.44,16.8,1,0,0,1
Bournemouth,West Brom,16:00,2,1,1.79,3.74,4.78,1,0,0,1
