team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Chelsea,Everton,17:00,2,1,1.75,3.75,4.8,1,0,0,1
Liverpool,QPR,17:00,1,0,1.25,6.18,12.4,1,0,0,1
Manchester City,Norwich,17:00,2,3,1.28,5.62,11.78,0,0,1,0
Newcastle,Arsenal,17:00,0,1,6.15,4.37,1.52,0,0,1,1
Southampton,Stoke,17:00,1,1,1.69,3.65,5.5,0,1,0,0
Swansea,Fulham,17:00,0,3,1.65,3.9,5.43,0,0,1,0
Tottenham,Sunderland,17:00,1,0,1.25,5.99,13.4,1,0,0,1
West Brom,Manchester Utd,17:00,5,5,3.75,3.41,2.04,0,1,0,0
West Ham,Reading,17:00,4,2,1.61,3.98,5.78,1,0,0,1
Wigan,Aston Villa,17:00,2,2,2.06,3.48,3.65,0,1,0,0
Reading,Manchester City,21:00,0,2,6.62,4.58,1.48,0,0,1,1
Arsenal,Wigan,20:45,4,1,1.37,5.22,7.98,1,0,0,1
Manchester Utd,Swansea,17:00,2,1,1.35,4.98,9.54,1,0,0,1
Everton,West Ham,16:00,2,0,1.51,4.2,6.78,1,0,0,1
Fulham,Liverpool,16:00,1,3,3.85,3.44,2.05,0,0,1,1
Norwich,West Brom,16:00,4,0,2.41,3.26,3.09,1,0,0,1
QPR,Newcastle,16:00,1,2,3.0,3.42,2.4,0,0,1,1
Sunderland,Southampton,16:00,1,1,3.19,3.04,2.47,0,1,0,0
Stoke,Tottenham,14:30,1,2,4.7,3.57,1.82,0,0,1,1
Aston Villa,Chelsea,13:45,1,2,5.26,4.03,1.65,0,0,1,1
Chelsea,Tottenham,20:45,2,2,1.82,3.71,4.35,0,1,0,0
Manchester City,West Brom,20:45,1,0,1.4,4.77,8.54,1,0,0,1
Wigan,Swansea,20:45,2,3,1.79,3.69,4.64,0,0,1,0
Sunderland,Stoke,21:00,1,1,2.28,3.05,3.58,0,1,0,0
Manchester Utd,Chelsea,17:00,0,1,2.34,3.41,3.08,0,0,1,0
Liverpool,Everton,14:30,0,0,1.93,3.48,4.11,0,1,0,0
QPR,Arsenal,18:30,0,1,8.53,4.92,1.38,0,0,1,1
Fulham,Reading,16:00,2,4,1.68,3.8,5.26,0,0,1,0
Norwich,Aston Villa,16:00,1,2,2.56,3.15,2.94,0,0,1,0
Swansea,Manchester City,16:00,0,0,4.85,3.6,1.78,0,1,0,0
Tottenham,Southampton,16:00,1,0,1.52,4.16,6.59,1,0,0,1
West Brom,Wigan,16:00,2,3,2.32,3.4,3.09,0,0,1,0
West Ham,Newcastle,16:00,0,0,2.2,3.41,3.33,0,1,0,0
Aston Villa,Sunderland,21:00,6,1,2.21,3.29,3.5,1,0,0,1
Arsenal,Manchester Utd,17:00,1,1,2.25,3.52,3.23,0,1,0,0
Chelsea,Swansea,16:00,2,0,1.38,4.94,8.61,1,0,0,1
Reading,QPR,14:30,0,0,2.45,3.45,2.89,0,1,0,0
Newcastle,Liverpool,18:30,0,6,3.06,3.41,2.36,0,0,1,1
Everton,Fulham,16:00,1,0,1.48,4.33,7.38,1,0,0,1
Southampton,West Brom,16:00,0,3,1.73,3.76,4.97,0,0,1,0
Stoke,Norwich,16:00,1,0,2.11,3.15,3.94,1,0,0,1
Wigan,Tottenham,16:00,2,2,3.28,3.46,2.23,0,1,0,0
Manchester City,West Ham,13:45,2,1,1.23,6.38,13.76,1,0,0,1
Manchester Utd,Aston Villa,21:00,3,0,1.24,6.44,12.94,1,0,0,1
Liverpool,Chelsea,17:00,2,2,2.14,3.45,3.5,0,1,0,0
Tottenham,Manchester City,14:30,3,1,2.79,3.23,2.67,1,0,0,0
Fulham,Arsenal,16:00,0,1,6.29,4.18,1.55,0,0,1,1
