team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Brighton,Manchester City,16:00,1,4,14.86,7.87,1.19,0,0,1,1
Burnley,Arsenal,16:00,1,3,2.55,3.64,2.72,0,0,1,0
Crystal Palace,Bournemouth,16:00,5,3,1.76,4.32,4.22,1,0,0,1
Fulham,Newcastle,16:00,0,4,2.44,3.56,2.9,0,0,1,0
Leicester,Chelsea,16:00,0,0,2.42,3.66,2.87,0,1,0,0
Liverpool,Wolves,16:00,2,0,1.3,5.81,10.26,1,0,0,1
Manchester Utd,Cardiff,16:00,0,2,1.3,6.05,9.75,0,0,1,0
Southampton,Huddersfield,16:00,1,1,1.39,5.06,8.44,0,1,0,0
Tottenham,Everton,16:00,2,2,1.88,3.73,4.23,0,1,0,0
Watford,West Ham,16:00,1,4,2.08,3.8,3.45,0,0,1,0
Manchester City,Leicester,21:00,1,0,1.17,9.01,15.06,1,0,0,1
Arsenal,Brighton,17:30,1,1,1.27,5.97,11.89,0,1,0,0
Chelsea,Watford,15:00,3,0,1.3,5.85,10.58,1,0,0,1
Huddersfield,Manchester Utd,15:00,1,1,9.54,5.63,1.32,0,1,0,0
Newcastle,Liverpool,20:45,2,3,9.46,5.52,1.33,0,0,1,1
Cardiff,Crystal Palace,18:30,2,3,2.56,3.73,2.67,0,0,1,0
West Ham,Southampton,16:00,3,0,2.32,3.6,3.06,1,0,0,1
Wolves,Fulham,16:00,1,0,1.49,4.37,7.38,1,0,0,1
Bournemouth,Tottenham,13:30,1,0,5.89,4.65,1.54,1,0,0,0
Everton,Burnley,21:00,2,0,1.65,3.92,5.72,1,0,0,1
Manchester Utd,Chelsea,17:30,1,1,2.65,3.35,2.78,0,1,0,0
Burnley,Manchester City,15:05,0,1,17.95,9.1,1.15,0,0,1,1
Leicester,Arsenal,13:00,3,0,2.68,3.62,2.6,1,0,0,0
Brighton,Newcastle,18:30,1,1,2.2,3.28,3.62,0,1,0,0
Crystal Palace,Everton,16:00,0,0,2.99,3.45,2.42,0,1,0,0
Fulham,Cardiff,16:00,1,0,2.19,3.64,3.27,1,0,0,1
Southampton,Bournemouth,16:00,3,3,1.78,3.92,4.56,0,1,0,0
Watford,Wolves,16:00,1,2,2.65,3.22,2.86,0,0,1,0
Tottenham,West Ham,13:30,0,1,1.35,5.46,8.98,0,0,1,0
Liverpool,Huddersfield,21:00,5,0,1.07,16.05,32.83,1,0,0,1
Manchester Utd,Manchester City,21:00,0,2,6.28,4.65,1.51,0,0,1,1
Wolves,Arsenal,20:45,3,1,2.71,3.37,2.69,1,0,0,0
Tottenham,Brighton,20:45,1,0,1.25,6.16,12.91,1,0,0,1
Watford,Southampton,20:45,1,1,2.16,3.42,3.54,0,1,0,0
Chelsea,Burnley,21:00,2,2,1.22,6.6,14.84,0,1,0,0
Arsenal,Crystal Palace,17:00,2,3,1.5,4.66,6.31,0,0,1,0
Cardiff,Liverpool,17:00,0,2,16.42,7.73,1.18,0,0,1,1
Everton,Manchester Utd,14:30,4,0,3.27,3.51,2.24,1,0,0,0
Newcastle,Southampton,18:30,3,1,2.41,3.05,3.44,1,0,0,1
Bournemouth,Fulham,16:00,0,1,1.7,4.18,4.81,0,0,1,0
Huddersfield,Watford,16:00,1,2,4.07,3.57,1.95,0,0,1,1
West Ham,Leicester,16:00,2,2,3.27,3.55,2.22,0,1,0,0
Wolves,Brighton,16:00,0,0,1.93,3.17,4.9,0,1,0,0
Manchester City,Tottenham,13:30,1,0,1.27,6.34,10.79,1,0,0,1
