team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Chelsea,Arsenal,17:30,1,1,3.02,3.42,2.45,0,1,0,0
Manchester Utd,Leicester,15:00,3,0,1.34,5.66,8.8,1,0,0,1
Nottingham,Newcastle,15:00,1,3,2.79,3.3,2.69,0,0,1,1
Tottenham,Ipswich,15:00,1,2,1.26,6.81,10.81,0,0,1,0
Liverpool,Aston Villa,21:00,2,0,1.49,4.77,6.58,1,0,0,1
Brighton,Manchester City,18:30,2,1,4.2,4.16,1.8,1,0,0,0
Brentford,Bournemouth,16:00,3,2,2.61,3.6,2.68,1,0,0,1
Crystal Palace,Fulham,16:00,0,2,3.38,3.37,2.26,0,0,1,1
West Ham,Everton,16:00,0,0,2.17,3.47,3.52,0,1,0,0
Wolves,Southampton,16:00,2,0,1.93,3.81,3.99,1,0,0,1
Fulham,Brentford,21:00,2,1,2.02,3.76,3.66,1,0,0,1
Manchester Utd,Chelsea,17:30,1,1,2.67,3.6,2.59,0,1,0,0
Tottenham,Aston Villa,15:00,4,1,1.95,4.04,3.65,1,0,0,1
Wolves,Crystal Palace,18:30,2,2,2.44,3.35,3.07,0,1,0,0
Bournemouth,Manchester City,16:00,2,1,5.93,4.45,1.56,1,0,0,0
Ipswich,Leicester,16:00,1,1,2.35,3.59,3.03,0,1,0,0
Liverpool,Brighton,16:00,2,1,1.38,5.67,7.59,1,0,0,1
Nottingham,West Ham,16:00,3,0,2.05,3.5,3.85,1,0,0,1
Southampton,Everton,16:00,1,0,2.72,3.34,2.73,1,0,0,1
Newcastle,Arsenal,13:30,1,0,4.06,3.62,1.96,1,0,0,0
Arsenal,Liverpool,17:30,2,2,2.28,3.38,3.35,0,1,0,0
Chelsea,Newcastle,15:00,2,1,1.79,4.13,4.2,1,0,0,1
Crystal Palace,Tottenham,15:00,1,0,3.79,4.0,1.92,1,0,0,0
West Ham,Manchester Utd,15:00,2,1,3.32,3.72,2.16,1,0,0,0
Everton,Fulham,18:30,1,1,2.76,3.4,2.65,0,1,0,0
Aston Villa,Bournemouth,16:00,1,1,1.82,3.95,4.33,0,1,0,0
Brentford,Ipswich,16:00,4,3,1.67,4.17,5.06,1,0,0,1
Brighton,Wolves,16:00,2,2,1.58,4.37,5.75,0,1,0,0
Manchester City,Southampton,16:00,1,0,1.12,10.31,20.45,1,0,0,1
Leicester,Nottingham,21:00,1,3,3.01,3.37,2.44,0,0,1,1
Nottingham,Crystal Palace,21:00,1,0,2.37,3.29,3.24,1,0,0,1
Liverpool,Chelsea,17:30,2,1,1.67,4.49,4.68,1,0,0,1
Wolves,Manchester City,15:00,1,2,8.61,5.54,1.35,0,0,1,1
Bournemouth,Arsenal,18:30,2,0,4.88,3.73,1.78,1,0,0,0
Fulham,Aston Villa,16:00,1,3,2.49,3.45,2.92,0,0,1,0
Ipswich,Everton,16:00,0,2,2.39,3.42,3.09,0,0,1,0
Manchester Utd,Brentford,16:00,2,1,1.7,4.29,4.74,1,0,0,1
Newcastle,Brighton,16:00,0,1,1.74,4.1,4.69,0,0,1,0
