team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Arsenal,Fulham,17:00,4,0,1.17,6.86,15.27,1,0,0,1
Aston Villa,Blackburn,17:00,0,1,1.58,3.84,6.09,0,0,1,0
Bolton,Birmingham,17:00,2,1,2.15,3.3,3.42,1,0,0,1
Burnley,Tottenham,17:00,4,2,6.18,4.12,1.52,1,0,0,0
Chelsea,Wigan,17:00,8,0,1.08,10.64,24.8,1,0,0,1
Everton,Portsmouth,17:00,1,0,1.28,5.4,11.36,1,0,0,1
Hull,Liverpool,17:00,0,0,6.9,4.12,1.49,0,1,0,0
Manchester Utd,Stoke,17:00,4,0,1.11,8.43,21.68,1,0,0,1
West Ham,Manchester City,17:00,1,1,3.55,3.36,2.08,0,1,0,0
Wolves,Sunderland,17:00,2,1,2.39,3.25,3.0,1,0,0,1
Fulham,Stoke,21:00,0,1,2.07,3.27,3.71,0,0,1,0
Manchester City,Tottenham,21:00,0,1,1.97,3.48,3.8,0,0,1,0
Blackburn,Arsenal,18:00,2,1,3.77,3.41,2.0,1,0,0,0
Wigan,Hull,14:30,2,2,1.69,3.66,5.13,0,1,0,0
Sunderland,Manchester Utd,17:00,0,1,8.3,4.72,1.38,0,0,1,1
Fulham,West Ham,16:00,3,2,2.5,3.25,2.86,1,0,0,1
Liverpool,Chelsea,14:30,0,2,4.27,3.67,1.81,0,0,1,1
Manchester City,Aston Villa,16:00,3,1,1.85,3.54,4.24,1,0,0,1
Portsmouth,Wolves,16:00,3,1,2.35,3.26,3.06,1,0,0,1
Stoke,Everton,16:00,0,0,3.9,3.4,1.96,0,1,0,0
Tottenham,Bolton,16:00,1,0,1.24,5.77,12.41,1,0,0,1
Birmingham,Burnley,13:45,2,1,1.54,3.84,6.6,1,0,0,1
Chelsea,Stoke,17:00,7,0,1.14,7.69,19.04,1,0,0,1
Burnley,Liverpool,16:00,0,4,6.05,4.04,1.55,0,0,1,1
Everton,Fulham,16:00,2,1,1.33,4.85,9.75,1,0,0,1
Aston Villa,Birmingham,13:00,1,0,1.61,3.73,5.9,1,0,0,1
Arsenal,Manchester City,18:30,0,0,1.98,3.52,3.73,0,1,0,0
Bolton,Portsmouth,16:00,2,2,1.54,3.93,6.42,0,1,0,0
Hull,Sunderland,16:00,0,1,2.42,3.28,2.93,0,0,1,0
West Ham,Wigan,16:00,3,2,1.83,3.54,4.35,1,0,0,1
Wolves,Blackburn,16:00,1,1,2.24,3.23,3.3,0,1,0,0
Manchester Utd,Tottenham,13:45,3,1,1.52,4.13,6.26,1,0,0,1
Hull,Aston Villa,20:45,0,2,3.9,3.5,1.94,0,0,1,1
Liverpool,West Ham,21:00,3,0,1.41,4.35,8.29,1,0,0,1
Portsmouth,Aston Villa,17:00,1,2,5.5,3.79,1.64,0,0,1,1
Wigan,Arsenal,14:30,3,2,5.98,4.03,1.56,1,0,0,0
Tottenham,Chelsea,18:30,2,1,4.13,3.53,1.87,1,0,0,0
Birmingham,Hull,16:00,0,0,1.71,3.62,5.05,0,1,0,0
Blackburn,Everton,16:00,2,3,2.98,3.28,2.39,0,0,1,1
Fulham,Wolves,16:00,0,0,2.08,3.24,3.7,0,1,0,0
Stoke,Bolton,16:00,1,2,2.14,3.23,3.54,0,0,1,0
Sunderland,Burnley,16:00,2,1,1.6,3.85,5.72,1,0,0,1
Manchester City,Manchester Utd,13:45,0,1,3.01,3.39,2.32,0,0,1,1
Tottenham,Arsenal,21:00,2,1,3.26,3.36,2.2,1,0,0,0
Aston Villa,Everton,20:45,2,2,2.31,3.28,3.11,0,1,0,0
Wigan,Portsmouth,20:45,0,0,1.48,4.27,6.77,0,1,0,0
Chelsea,Bolton,21:00,1,0,1.13,8.15,20.42,1,0,0,1
Manchester City,Birmingham,17:00,5,1,1.38,4.61,8.67,1,0,0,1
Liverpool,Fulham,16:00,0,0,1.29,5.21,11.08,0,1,0,0
Blackburn,Manchester Utd,14:30,0,0,7.08,4.08,1.49,0,1,0,0
Wolves,Stoke,13:00,0,0,2.29,3.22,3.21,0,1,0,0
Hull,Burnley,16:00,1,4,1.72,3.65,4.94,0,0,1,0
West Ham,Sunderland,16:00,1,0,1.99,3.37,3.81,1,0,0,1
Everton,West Ham,17:00,2,2,1.42,4.32,8.02,0,1,0,0
Birmingham,Liverpool,16:00,1,1,4.63,3.54,1.78,0,1,0,0
Fulham,Wigan,16:00,2,1,2.15,3.23,3.52,1,0,0,1
Burnley,Manchester City,18:30,1,6,5.41,3.73,1.65,0,0,1,1
Arsenal,Wolves,16:00,1,0,1.24,5.84,12.9,1,0,0,1
Bolton,Aston Villa,16:00,0,1,2.77,3.21,2.57,0,0,1,1
Portsmouth,Blackburn,16:00,0,0,3.62,3.38,2.05,0,1,0,0
Stoke,Hull,16:00,2,0,1.71,3.57,5.11,1,0,0,1
Sunderland,Tottenham,16:00,3,1,3.39,3.32,2.15,1,0,0,0
Manchester Utd,Chelsea,13:45,1,2,2.46,3.18,2.96,0,0,1,0
Manchester City,Wigan,21:00,3,0,1.33,4.84,10.08,1,0,0,1
Liverpool,Sunderland,17:00,3,0,1.3,5.11,10.8,1,0,0,1
Burnley,Blackburn,13:00,0,1,2.63,3.28,2.68,0,0,1,0
Bolton,Manchester Utd,18:30,0,4,8.15,4.33,1.42,0,0,1,1
Birmingham,Arsenal,16:00,1,1,6.53,3.87,1.54,0,1,0,0
Chelsea,Aston Villa,16:00,7,1,1.38,4.58,8.68,1,0,0,1
Hull,Fulham,16:00,2,0,2.37,3.25,3.04,1,0,0,1
Tottenham,Portsmouth,16:00,2,0,1.21,6.1,14.96,1,0,0,1
West Ham,Stoke,16:00,0,1,2.06,3.32,3.67,0,0,1,0
Wolves,Everton,16:00,0,0,3.82,3.34,2.01,0,1,0,0
Blackburn,Birmingham,21:00,2,1,2.02,3.31,3.8,1,0,0,1
Aston Villa,Sunderland,20:45,1,1,1.61,3.76,5.9,0,0,0,0
Manchester City,Everton,20:45,0,2,2.05,3.33,3.68,0,0,1,0
Portsmouth,Chelsea,20:45,0,5,11.7,5.31,1.28,0,0,0,0
West Ham,Wolves,21:00,1,3,1.76,3.55,4.77,0,0,0,0
Blackburn,Chelsea,17:00,1,1,7.73,4.24,1.44,0,1,0,0
Fulham,Manchester City,16:00,1,2,3.06,3.25,2.34,0,0,1,1
Manchester Utd,Liverpool,14:30,2,1,1.76,3.44,5.01,1,0,0,1
Arsenal,West Ham,18:30,2,0,1.2,6.51,14.2,1,0,0,1
Everton,Bolton,16:00,2,0,1.47,4.13,7.45,1,0,0,1
Portsmouth,Hull,16:00,3,2,2.03,3.44,3.66,1,0,0,1
Stoke,Tottenham,16:00,1,2,3.13,3.24,2.31,0,0,1,1
Sunderland,Birmingham,16:00,3,1,2.14,3.25,3.53,1,0,0,1
Wigan,Burnley,16:00,1,0,1.82,3.5,4.5,1,0,0,1
