team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Arsenal,Brighton,17:00,2,0,1.68,4.21,4.97,1,0,0,1
Aston Villa,Chelsea,17:00,2,1,6.98,4.89,1.45,1,0,0,0
Fulham,Newcastle,17:00,0,2,2.49,3.47,2.91,0,0,1,0
Leeds,West Brom,17:00,3,1,1.55,4.79,5.59,1,0,0,1
Leicester,Tottenham,17:00,2,4,1.81,4.27,4.1,0,0,1,0
Liverpool,Crystal Palace,17:00,2,0,1.16,8.84,16.77,1,0,0,1
Manchester City,Everton,17:00,5,0,1.3,6.17,9.74,1,0,0,1
Sheffield Utd,Burnley,17:00,1,0,2.85,3.5,2.53,1,0,0,0
West Ham,Southampton,17:00,3,0,1.78,3.91,4.61,1,0,0,1
Wolves,Manchester Utd,17:00,1,2,2.35,3.33,3.27,0,0,1,0
Burnley,Liverpool,21:15,0,3,9.74,6.28,1.29,0,0,1,1
West Brom,West Ham,21:15,1,3,5.17,4.26,1.64,0,0,1,1
Crystal Palace,Arsenal,20:00,1,3,5.86,4.14,1.6,0,0,1,1
Everton,Wolves,19:00,1,0,1.79,3.73,4.82,1,0,0,1
Newcastle,Sheffield Utd,19:00,1,0,1.85,3.74,4.39,1,0,0,1
Tottenham,Aston Villa,19:00,1,2,1.62,4.49,5.21,0,0,1,0
Chelsea,Leicester,21:15,2,1,1.7,3.85,5.34,1,0,0,1
Brighton,Manchester City,20:00,3,2,7.41,4.69,1.45,1,0,0,0
Manchester Utd,Fulham,19:00,1,1,1.3,5.94,10.14,0,1,0,0
Southampton,Leeds,19:00,0,2,2.66,3.85,2.51,0,0,1,1
Everton,Sheffield Utd,20:00,0,1,1.36,5.17,9.18,0,0,1,0
West Brom,Liverpool,17:30,1,2,12.41,7.24,1.22,0,0,1,1
Tottenham,Wolves,15:05,2,0,1.55,4.55,5.96,1,0,0,1
Crystal Palace,Aston Villa,13:00,3,2,3.15,3.53,2.29,1,0,0,0
