team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Chelsea,Blackburn,16:00,2,1,1.25,6.07,11.1,1,0,0,1
Everton,Newcastle,16:00,3,1,2.01,3.63,3.52,1,0,0,1
Manchester City,QPR,16:00,3,2,1.12,8.81,19.48,1,0,0,1
Norwich,Aston Villa,16:00,2,0,2.01,3.47,3.69,1,0,0,1
Stoke,Bolton,16:00,2,2,2.15,3.85,3.02,0,1,0,0
Sunderland,Manchester Utd,16:00,0,1,7.16,4.53,1.44,0,0,1,1
Swansea,Liverpool,16:00,1,0,3.45,3.49,2.1,1,0,0,0
Tottenham,Fulham,16:00,2,0,1.41,4.52,8.05,1,0,0,1
West Brom,Arsenal,16:00,2,3,5.11,4.03,1.64,0,0,1,1
Wigan,Wolves,16:00,3,2,1.55,4.04,6.12,1,0,0,1
Liverpool,Chelsea,21:00,4,1,2.06,3.61,3.45,1,0,0,1
Blackburn,Wigan,21:00,0,1,2.77,3.41,2.49,0,0,1,1
Manchester Utd,Swansea,17:00,2,0,1.17,7.1,16.18,1,0,0,1
Aston Villa,Tottenham,15:00,1,1,4.06,3.52,1.9,0,1,0,0
Bolton,West Brom,15:00,2,2,2.17,3.39,3.33,0,1,0,0
Fulham,Sunderland,15:00,2,1,1.71,3.72,4.98,1,0,0,1
QPR,Stoke,15:00,1,0,1.77,3.67,4.6,1,0,0,1
Wolves,Everton,15:00,0,0,4.69,3.71,1.75,0,1,0,0
Newcastle,Manchester City,14:30,0,2,4.68,4.04,1.69,0,0,1,1
Arsenal,Norwich,13:45,3,3,1.2,6.56,14.51,0,1,0,0
Bolton,Tottenham,21:00,1,4,4.4,3.72,1.8,0,0,1,1
Chelsea,Newcastle,20:45,0,2,1.45,4.5,6.86,0,0,1,0
Liverpool,Fulham,20:45,0,1,1.73,3.65,5.0,0,0,1,0
Stoke,Everton,20:45,1,1,3.06,3.25,2.37,0,1,0,0
Manchester City,Manchester Utd,21:00,1,0,2.04,3.4,3.71,1,0,0,1
Tottenham,Blackburn,17:00,2,0,1.34,5.29,8.64,1,0,0,1
Chelsea,QPR,14:30,6,1,1.43,4.37,7.74,1,0,0,1
Norwich,Liverpool,18:30,0,3,4.51,3.77,1.76,0,0,1,1
Everton,Fulham,16:00,4,0,1.79,3.51,4.67,1,0,0,1
Stoke,Arsenal,16:00,1,1,4.45,3.53,1.83,0,1,0,0
Sunderland,Bolton,16:00,2,2,1.99,3.47,3.81,0,1,0,0
Swansea,Wolves,16:00,4,4,1.5,4.14,6.66,0,1,0,0
West Brom,Aston Villa,16:00,0,0,2.14,3.28,3.55,0,1,0,0
Wigan,Newcastle,16:00,4,0,2.62,3.38,2.64,1,0,0,1
Aston Villa,Bolton,20:45,1,2,2.03,3.42,3.7,0,0,1,0
Liverpool,West Brom,17:00,0,1,1.39,4.65,8.32,0,0,1,0
Wolves,Manchester City,17:00,0,2,13.76,6.75,1.2,0,0,1,1
Manchester Utd,Everton,13:30,4,4,1.35,4.79,9.37,0,1,0,0
QPR,Tottenham,18:30,1,0,3.65,3.47,2.05,1,0,0,0
Aston Villa,Sunderland,16:00,0,0,2.17,3.24,3.52,0,1,0,0
Blackburn,Norwich,16:00,2,0,1.95,3.61,3.75,1,0,0,1
Bolton,Swansea,16:00,1,1,2.35,3.26,3.08,0,1,0,0
Fulham,Wigan,16:00,2,1,1.84,3.61,4.29,1,0,0,1
Newcastle,Stoke,16:00,3,0,1.69,3.56,5.47,1,0,0,1
Arsenal,Chelsea,13:45,0,0,1.9,3.58,4.06,0,1,0,0
Arsenal,Wigan,21:00,1,2,1.27,5.64,11.25,0,0,1,0
Manchester Utd,Aston Villa,17:00,4,0,1.2,6.76,15.0,1,0,0,1
Sunderland,Wolves,16:00,0,0,1.53,4.05,6.69,0,1,0,0
Swansea,Blackburn,16:00,3,0,2.0,3.43,3.79,1,0,0,1
West Brom,QPR,16:00,1,0,2.2,3.41,3.25,1,0,0,1
Norwich,Manchester City,13:45,1,6,6.66,4.23,1.51,0,0,1,1
QPR,Swansea,21:00,3,0,2.09,3.37,3.56,1,0,0,1
Manchester City,West Brom,20:45,4,0,1.24,5.92,12.9,1,0,0,1
Wigan,Manchester Utd,20:45,1,0,7.72,4.52,1.42,1,0,0,0
Wolves,Arsenal,20:45,0,3,7.87,4.77,1.39,0,0,1,1
Blackburn,Liverpool,21:00,2,3,3.15,3.41,2.25,0,0,1,1
Fulham,Chelsea,21:00,1,1,3.33,3.33,2.21,0,1,0,0
Aston Villa,Stoke,18:30,1,1,2.22,3.25,3.38,0,1,0,0
Everton,Sunderland,16:00,4,0,1.95,3.36,4.05,1,0,0,1
