team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Birmingham,Arsenal,16:00,2,1,4.12,3.4,1.77,1,0,0,0
Bolton,Everton,16:00,3,2,1.83,3.34,3.98,1,0,0,1
Charlton,Crystal Palace,16:00,2,2,2.62,3.46,2.31,0,1,0,0
Fulham,Norwich,16:00,6,0,2.63,3.43,2.34,1,0,0,0
Liverpool,Aston Villa,16:00,2,1,1.64,3.37,5.18,1,0,0,1
Manchester City,Middlesbrough,16:00,1,1,2.01,3.15,3.5,0,1,0,0
Newcastle,Chelsea,16:00,1,1,3.27,3.29,2.04,0,1,0,0
Southampton,Manchester Utd,16:00,1,2,2.55,3.48,2.39,0,0,1,1
Tottenham,Blackburn,16:00,0,0,1.52,3.59,6.04,0,1,0,0
West Brom,Portsmouth,16:00,2,0,1.54,3.75,5.44,1,0,0,1
Arsenal,Everton,21:00,7,0,1.48,3.71,6.36,1,0,0,1
Manchester Utd,Chelsea,21:00,1,3,2.11,3.18,3.2,0,0,1,0
Arsenal,Liverpool,17:05,3,1,1.75,3.41,4.29,1,0,0,1
Manchester Utd,West Brom,18:15,1,1,1.3,4.67,8.83,0,1,0,0
Aston Villa,Manchester City,16:00,1,2,2.26,3.25,2.88,0,0,1,0
Blackburn,Fulham,16:00,1,3,2.02,3.2,3.42,0,0,1,0
Chelsea,Charlton,16:00,1,0,1.31,4.46,9.08,1,0,0,1
Crystal Palace,Southampton,16:00,2,2,2.15,3.24,3.09,0,1,0,0
Everton,Newcastle,16:00,2,0,1.69,3.35,4.85,1,0,0,1
Middlesbrough,Tottenham,16:00,1,0,2.24,3.18,2.98,1,0,0,1
Norwich,Birmingham,16:00,1,0,1.85,3.43,3.75,1,0,0,1
Portsmouth,Bolton,16:00,1,1,2.76,3.26,2.32,0,1,0,0
Fulham,Newcastle,20:45,1,3,2.2,3.15,3.08,0,0,1,0
West Brom,Arsenal,21:00,0,2,5.6,3.59,1.55,0,0,1,1
Charlton,Manchester Utd,17:05,0,4,5.36,3.53,1.58,0,0,1,1
Tottenham,Aston Villa,14:00,5,1,1.88,3.29,3.79,1,0,0,1
Bolton,Chelsea,18:15,0,2,3.65,3.3,1.84,0,0,1,1
Birmingham,Blackburn,16:00,2,1,2.1,3.19,3.24,1,0,0,1
Fulham,Everton,16:00,2,0,2.63,3.19,2.45,1,0,0,0
Liverpool,Middlesbrough,16:00,1,1,1.69,3.41,4.65,0,1,0,0
Manchester City,Portsmouth,16:00,2,0,1.75,3.35,4.37,1,0,0,1
Newcastle,Crystal Palace,16:00,0,0,1.82,3.35,3.92,0,1,0,0
Southampton,Norwich,16:00,4,3,2.05,3.31,3.23,1,0,0,1
Newcastle,Middlesbrough,20:45,0,0,2.09,3.25,3.2,0,1,0,0
West Brom,Blackburn,20:45,1,1,2.0,3.31,3.38,0,1,0,0
Arsenal,Tottenham,21:00,1,0,1.45,3.75,6.94,1,0,0,1
Manchester Utd,Newcastle,17:05,2,1,1.32,4.43,8.5,1,0,0,1
Portsmouth,Southampton,13:00,4,1,2.17,3.21,3.08,1,0,0,1
Aston Villa,Bolton,16:00,1,1,2.31,3.19,2.86,0,1,0,0
Blackburn,Manchester City,16:00,0,0,2.27,3.19,2.91,0,1,0,0
Crystal Palace,Liverpool,16:00,1,0,3.63,3.39,1.89,1,0,0,0
Middlesbrough,West Brom,16:00,4,0,1.88,3.31,3.8,1,0,0,1
Norwich,Charlton,16:00,1,0,2.12,3.37,3.04,1,0,0,1
Chelsea,Fulham,13:45,3,1,1.27,4.71,9.54,1,0,0,1
Everton,Birmingham,13:30,1,1,1.63,3.36,5.25,0,1,0,0
Blackburn,Crystal Palace,21:00,1,0,1.87,3.3,3.8,1,0,0,1
Chelsea,Arsenal,21:00,0,0,1.99,3.18,3.55,0,1,0,0
Everton,Manchester Utd,21:00,1,0,4.41,3.32,1.76,1,0,0,0
Manchester City,Birmingham,20:45,3,0,1.95,3.26,3.55,1,0,0,1
Tottenham,West Brom,20:45,1,1,1.69,3.41,4.75,0,1,0,0
Aston Villa,Charlton,20:45,0,0,1.87,3.25,3.88,0,1,0,0
Norwich,Newcastle,20:45,2,1,2.35,3.29,2.74,1,0,0,1
Portsmouth,Liverpool,20:45,1,2,3.3,3.25,2.05,0,0,1,1
Bolton,Southampton,21:00,1,1,1.59,3.53,5.4,0,1,0,0
Middlesbrough,Fulham,21:00,1,1,1.78,3.3,4.29,0,1,0,0
Birmingham,Portsmouth,18:15,0,0,1.83,3.26,4.03,0,1,0,0
Charlton,Bolton,16:00,1,2,2.46,3.18,2.62,0,0,1,0
Crystal Palace,Norwich,16:00,3,3,1.99,3.21,3.49,0,1,0,0
Fulham,Manchester City,16:00,1,1,2.35,3.19,2.77,0,1,0,0
Liverpool,Tottenham,16:00,2,2,1.71,3.48,4.38,0,1,0,0
Southampton,Aston Villa,16:00,2,3,2.1,3.22,3.17,0,0,1,0
Tottenham,Newcastle,17:05,1,0,1.98,3.2,3.67,1,0,0,1
