team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Arsenal,Wolves,17:30,5,0,1.3,6.15,9.64,1,0,0,1
Aston Villa,Brighton,17:30,2,1,1.9,4.04,3.82,1,0,0,1
Brentford,Manchester City,17:30,1,0,3.43,3.63,2.14,1,0,0,0
Chelsea,Newcastle,17:30,1,1,2.85,3.75,2.37,0,1,0,0
Crystal Palace,Nottingham,17:30,1,1,1.62,4.08,5.63,0,1,0,0
Everton,Bournemouth,17:30,1,0,1.62,4.24,5.5,1,0,0,1
Leeds,Tottenham,17:30,1,4,2.78,3.89,2.38,0,0,1,1
Leicester,West Ham,17:30,2,1,2.09,3.94,3.29,1,0,0,1
Manchester Utd,Fulham,17:30,2,1,1.49,4.96,6.02,1,0,0,1
Southampton,Liverpool,17:30,4,4,6.07,4.95,1.49,0,1,0,0
Manchester Utd,Chelsea,21:00,4,1,1.57,4.45,5.77,1,0,0,1
Brighton,Manchester City,21:00,1,1,3.89,4.15,1.86,0,1,0,0
Newcastle,Leicester,21:00,0,0,1.31,6.02,9.42,0,1,0,0
Manchester City,Chelsea,17:00,1,0,1.58,4.36,6.13,1,0,0,1
Brighton,Southampton,15:00,3,1,1.22,7.31,12.8,1,0,0,1
West Ham,Leeds,14:30,3,1,2.58,3.54,2.77,1,0,0,1
Nottingham,Arsenal,18:30,1,0,5.31,4.2,1.65,1,0,0,0
Bournemouth,Manchester Utd,16:00,0,1,7.27,5.25,1.42,0,0,1,1
Fulham,Crystal Palace,16:00,2,2,2.37,3.28,3.27,0,1,0,0
Liverpool,Aston Villa,16:00,1,1,1.5,4.89,6.28,0,1,0,0
Wolves,Everton,16:00,1,1,3.15,3.48,2.35,0,1,0,0
Tottenham,Brentford,13:30,1,3,1.95,3.82,3.91,0,0,1,0
Newcastle,Brighton,20:30,4,1,1.81,4.09,4.17,1,0,0,1
Leicester,Liverpool,21:00,0,3,4.78,4.35,1.69,0,0,1,1
Arsenal,Brighton,17:30,0,3,1.75,4.32,4.39,0,0,1,0
