team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Birmingham,Blackburn,16:00,4,1,2.22,3.32,3.55,1,0,0,1
Chelsea,Bolton,16:00,1,1,1.14,7.04,17.2,0,1,0,0
Derby,Reading,16:00,0,4,5.32,3.77,1.62,0,0,1,1
Everton,Newcastle,16:00,3,1,1.76,3.41,4.82,1,0,0,1
Middlesbrough,Manchester City,16:00,8,1,2.06,3.27,3.6,1,0,0,1
Portsmouth,Fulham,16:00,0,1,2.93,3.47,2.28,0,0,1,1
Sunderland,Arsenal,16:00,0,1,3.9,3.49,1.89,0,0,1,1
Tottenham,Liverpool,16:00,0,2,2.48,3.14,2.85,0,0,1,0
West Ham,Aston Villa,16:00,2,2,3.11,3.37,2.22,0,1,0,0
Wigan,Manchester Utd,16:00,0,2,12.6,5.99,1.22,0,0,1,1
Newcastle,Chelsea,17:00,0,2,6.01,3.94,1.56,0,0,1,1
Liverpool,Manchester City,17:00,1,0,1.96,3.57,5.43,1,0,0,1
Arsenal,Everton,14:30,1,0,1.61,3.62,5.98,1,0,0,1
Bolton,Sunderland,18:15,2,0,1.7,3.5,5.35,1,0,0,1
Aston Villa,Wigan,16:00,0,2,1.5,3.91,7.23,0,0,1,0
Blackburn,Derby,16:00,3,1,1.25,5.42,12.7,1,0,0,1
Fulham,Birmingham,16:00,2,0,1.92,3.57,6.99,1,0,0,1
Middlesbrough,Portsmouth,16:00,2,0,1.92,3.3,4.17,1,0,0,1
Reading,Tottenham,16:00,0,1,2.35,3.28,3.03,0,0,1,0
Manchester Utd,West Ham,13:45,4,1,1.18,6.58,16.41,1,0,0,1
Derby,Arsenal,21:00,2,6,11.47,5.17,1.28,0,0,1,1
Everton,Aston Villa,17:00,2,2,2.4,3.22,3.01,0,1,0,0
Portsmouth,Blackburn,14:30,0,1,2.61,2.9,3.41,0,0,1,0
Birmingham,Liverpool,16:00,2,2,3.72,2.83,2.75,0,1,0,0
Manchester City,Fulham,16:00,2,3,2.06,3.02,5.01,0,0,1,0
Sunderland,Middlesbrough,16:00,3,2,2.29,3.12,3.27,1,0,0,1
Tottenham,Bolton,16:00,1,1,1.75,3.59,4.69,0,1,0,0
West Ham,Newcastle,16:00,2,2,2.56,3.24,2.76,0,1,0,0
Wigan,Reading,16:00,0,0,2.02,3.28,3.85,0,1,0,0
Chelsea,Manchester Utd,13:45,2,1,2.45,3.11,3.04,1,0,0,1
Manchester City,Portsmouth,17:00,3,1,2.4,3.18,3.04,1,0,0,1
Newcastle,Sunderland,14:30,2,0,1.87,3.36,4.34,1,0,0,1
Aston Villa,Birmingham,13:00,5,1,1.75,3.4,5.1,1,0,0,1
Blackburn,Manchester Utd,18:15,1,1,6.16,3.68,1.59,0,1,0,0
Fulham,Liverpool,16:00,0,2,3.51,3.31,2.15,0,0,1,1
Middlesbrough,Bolton,16:00,0,1,2.08,3.28,3.63,0,0,1,0
West Ham,Derby,16:00,2,1,1.4,4.37,8.57,1,0,0,1
Wigan,Tottenham,16:00,1,1,2.54,3.3,2.76,0,1,0,0
Arsenal,Reading,13:45,2,0,1.3,5.0,10.98,1,0,0,1
Everton,Chelsea,21:00,0,1,3.57,3.29,2.11,0,0,1,1
Chelsea,Wigan,21:00,1,1,1.24,5.43,14.39,0,1,0,0
Manchester Utd,Arsenal,17:00,2,1,1.77,3.54,4.63,1,0,0,1
