team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Blackburn,Reading,16:00,3,3,1.87,3.45,3.63,0,1,0,0
Bolton,Aston Villa,16:00,2,2,2.0,3.22,3.53,0,1,0,0
Chelsea,Everton,16:00,1,1,1.58,3.5,5.48,0,1,0,0
Manchester Utd,West Ham,16:00,0,1,1.66,3.3,5.1,0,0,1,0
Middlesbrough,Fulham,16:00,3,1,1.83,3.3,4.08,1,0,0,1
Portsmouth,Arsenal,16:00,0,0,2.68,3.3,2.35,0,1,0,0
Sheffield Utd,Wigan,16:00,1,2,2.2,3.3,2.85,0,0,1,0
Tottenham,Manchester City,16:00,2,1,1.46,3.75,7.0,1,0,0,1
Watford,Newcastle,16:00,1,1,2.5,3.2,2.65,0,1,0,0
Tottenham,Blackburn,21:00,1,1,1.74,3.4,4.3,0,1,0,0
Charlton,Tottenham,21:00,0,2,3.05,3.4,2.07,0,0,1,1
Arsenal,Chelsea,17:00,1,1,2.5,3.25,2.6,0,1,0,0
Aston Villa,Sheffield Utd,18:15,3,0,1.93,3.18,3.7,1,0,0,1
Everton,Portsmouth,16:00,3,0,1.89,3.23,3.78,1,0,0,1
Fulham,Liverpool,16:00,1,0,2.56,3.3,2.38,1,0,0,0
Newcastle,Blackburn,16:00,0,2,2.22,3.2,2.9,0,0,1,0
Reading,Watford,16:00,0,2,1.42,4.0,6.75,0,0,1,0
West Ham,Bolton,16:00,3,1,2.06,3.37,3.18,1,0,0,1
Wigan,Middlesbrough,16:00,0,1,2.07,3.25,3.21,0,0,1,0
Manchester City,Manchester Utd,13:45,0,1,6.35,3.53,1.52,0,0,1,1
Reading,Newcastle,21:00,1,0,1.88,3.37,3.75,1,0,0,1
Arsenal,Fulham,17:00,3,1,1.36,4.1,8.25,1,0,0,1
Blackburn,Charlton,16:00,4,1,1.87,3.33,3.75,1,0,0,1
Manchester City,Aston Villa,16:00,0,2,2.25,3.15,3.01,0,0,1,0
Middlesbrough,Tottenham,16:00,2,3,2.6,3.3,2.4,0,0,1,1
