team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
West Brom,Liverpool,16:00,2,1,3.23,3.26,2.27,1,0,0,0
Wigan,Tottenham,16:00,0,0,3.15,3.32,2.28,0,1,0,0
West Ham,Manchester Utd,13:45,2,4,3.97,3.37,1.97,0,0,1,1
Chelsea,Manchester City,17:00,2,0,1.62,3.82,5.6,1,0,0,1
Sunderland,Liverpool,14:30,0,2,2.75,3.23,2.6,0,0,1,1
Everton,Fulham,18:30,2,1,2.01,3.25,3.93,1,0,0,1
Aston Villa,Wolves,16:00,0,1,1.95,3.37,4.0,0,0,1,0
Blackburn,Blackpool,16:00,2,2,1.74,3.78,4.53,0,1,0,0
Manchester Utd,Bolton,16:00,1,0,1.39,4.43,8.71,1,0,0,1
Stoke,Newcastle,16:00,4,0,2.16,3.2,3.53,1,0,0,1
West Brom,Arsenal,16:00,2,2,4.26,3.48,1.86,0,1,0,0
Wigan,Birmingham,16:00,2,1,2.19,3.25,3.41,1,0,0,1
Tottenham,West Ham,13:45,0,0,1.63,3.73,5.61,0,1,0,0
Everton,Birmingham,21:00,1,1,1.52,3.91,6.88,0,1,0,0
Blackpool,Chelsea,21:00,1,3,10.27,5.53,1.29,0,0,1,1
Wolves,Tottenham,17:00,3,3,2.86,3.27,2.48,0,1,0,0
Liverpool,Manchester Utd,14:30,3,1,2.88,3.21,2.5,1,0,0,0
Manchester City,Wigan,18:30,1,0,1.35,4.7,9.51,1,0,0,1
Bolton,Aston Villa,16:00,3,2,2.09,3.35,3.56,1,0,0,1
Newcastle,Everton,16:00,1,2,2.53,3.24,2.82,0,0,1,0
West Ham,Stoke,16:00,3,0,2.04,3.28,3.79,1,0,0,1
Arsenal,Sunderland,16:00,0,0,1.4,4.5,8.36,0,1,0,0
Fulham,Blackburn,16:00,3,2,1.62,3.75,5.77,1,0,0,1
Birmingham,West Brom,13:45,1,3,2.49,3.21,2.91,0,0,1,0
Chelsea,Manchester Utd,20:45,2,1,2.13,3.28,3.52,1,0,0,1
Stoke,West Brom,21:00,1,1,1.83,3.47,4.49,0,1,0,0
