team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Arsenal,Wigan,16:00,4,2,1.2,5.92,11.43,1,0,0,1
Aston Villa,Sunderland,16:00,2,1,1.54,3.74,5.93,1,0,0,1
Blackburn,Manchester City,16:00,2,0,1.98,3.19,3.64,1,0,0,1
Bolton,Birmingham,16:00,1,0,1.51,3.72,6.35,1,0,0,1
Everton,West Brom,16:00,2,2,1.6,3.47,5.65,0,1,0,0
Fulham,Middlesbrough,16:00,1,0,1.62,3.51,5.33,1,0,0,1
Manchester Utd,Charlton,16:00,4,0,1.19,5.87,13.14,1,0,0,1
Newcastle,Chelsea,16:00,1,0,2.75,3.16,2.45,1,0,0,0
Portsmouth,Liverpool,16:00,1,3,5.75,3.72,1.54,0,0,1,1
West Ham,Tottenham,16:00,2,1,3.52,3.34,1.98,1,0,0,0
Manchester City,Arsenal,20:45,1,3,5.57,3.62,1.57,0,0,1,1
Sunderland,Fulham,20:45,2,1,3.17,3.28,2.14,1,0,0,0
Bolton,Middlesbrough,21:00,1,1,1.5,3.88,5.85,0,1,0,0
Blackburn,Chelsea,21:00,1,0,2.87,3.22,2.31,1,0,0,0
Manchester Utd,Middlesbrough,21:00,0,0,1.24,5.25,11.2,0,1,0,0
West Brom,West Ham,21:00,0,1,2.28,3.23,2.91,0,0,1,0
Sunderland,Arsenal,18:15,0,3,9.96,4.72,1.28,0,0,1,1
Tottenham,Bolton,17:00,1,0,1.66,3.39,5.22,1,0,0,1
Charlton,Blackburn,18:15,0,2,2.97,3.25,2.26,0,0,1,1
Birmingham,Newcastle,16:00,0,0,2.37,3.28,2.75,0,1,0,0
Liverpool,Aston Villa,16:00,3,1,1.33,4.28,9.43,1,0,0,1
Manchester City,Fulham,16:00,1,2,1.74,3.43,4.46,0,0,1,0
Middlesbrough,Everton,16:00,0,1,2.61,3.16,2.55,0,0,1,1
Wigan,Portsmouth,16:00,1,2,2.34,3.35,2.72,0,0,1,0
Chelsea,Manchester Utd,13:30,3,0,2.1,3.01,3.54,1,0,0,1
West Ham,Liverpool,20:45,1,2,4.3,3.27,1.81,0,0,1,1
Aston Villa,Manchester City,20:45,0,1,2.26,3.13,3.04,0,0,1,0
Fulham,Wigan,21:00,1,0,2.11,3.18,3.31,1,0,0,1
Bolton,Charlton,16:00,4,1,1.68,3.42,5.1,1,0,0,1
Everton,Birmingham,16:00,0,0,2.1,3.3,3.1,0,1,0,0
Newcastle,West Brom,16:00,3,0,1.72,3.4,4.65,1,0,0,1
Portsmouth,Sunderland,16:00,2,1,1.33,4.31,8.83,1,0,0,1
Arsenal,Tottenham,13:45,1,1,1.63,3.45,5.34,0,1,0,0
Birmingham,Blackburn,20:45,2,1,2.47,3.19,2.66,1,0,0,1
Wigan,Aston Villa,20:45,3,2,2.05,3.2,3.46,1,0,0,1
West Brom,Bolton,21:00,0,0,2.32,3.19,2.87,0,1,0,0
Charlton,Portsmouth,16:00,2,1,2.42,3.18,2.77,1,0,0,1
Chelsea,Everton,16:00,3,0,1.21,5.5,12.93,1,0,0,1
Middlesbrough,West Ham,16:00,2,0,2.4,3.23,2.63,1,0,0,1
