team1,team2,matchStartTime,team1score,team2score,homeodd,drawodd,awayodd,home_odd_win,draw_odd_win,away_odd_win,bookmakers_prediction
Arsenal,Watford,17:00,3,2,2.01,3.78,3.58,1,0,0,1
Burnley,Brighton,17:00,1,2,2.64,3.36,2.74,0,0,1,0
Chelsea,Wolves,17:00,2,0,1.89,3.38,4.58,1,0,0,1
Crystal Palace,Tottenham,17:00,1,1,6.81,4.39,1.49,0,1,0,0
Everton,Bournemouth,17:00,1,3,2.34,3.68,2.91,0,0,1,0
Leicester,Manchester Utd,17:00,0,2,3.72,3.57,2.02,0,0,1,1
Manchester City,Norwich,17:00,5,0,1.03,19.06,37.86,1,0,0,1
Newcastle,Liverpool,17:00,1,3,5.61,4.53,1.55,0,0,1,1
Southampton,Sheffield Utd,17:00,3,1,2.0,3.59,3.83,1,0,0,1
West Ham,Aston Villa,17:00,1,1,2.6,3.54,2.65,0,1,0,0
Liverpool,Chelsea,21:15,5,3,1.91,3.78,3.92,1,0,0,1
Manchester Utd,West Ham,19:00,1,1,1.25,6.45,11.34,0,1,0,0
Aston Villa,Arsenal,21:15,1,0,3.16,3.76,2.18,1,0,0,0
Watford,Manchester City,19:00,0,4,9.09,6.04,1.31,0,0,1,1
Wolves,Crystal Palace,21:15,2,0,1.44,4.24,8.98,1,0,0,1
Brighton,Newcastle,19:00,0,0,1.97,3.53,4.0,0,1,0,0
Sheffield Utd,Everton,19:00,0,1,1.98,3.34,4.21,0,0,1,0
Tottenham,Leicester,17:00,3,0,2.3,3.38,3.23,1,0,0,1
Bournemouth,Southampton,15:00,0,2,2.44,3.76,2.73,0,0,1,0
Norwich,Burnley,18:30,0,2,3.23,3.41,2.27,0,0,1,1
West Ham,Watford,21:00,3,1,2.46,2.94,3.37,1,0,0,1
Crystal Palace,Manchester Utd,21:15,0,2,8.53,5.28,1.36,0,0,1,1
Southampton,Brighton,21:15,1,1,2.27,3.42,3.25,0,1,0,0
Everton,Aston Villa,19:00,1,1,2.11,3.53,3.5,0,1,0,0
Leicester,Sheffield Utd,19:00,2,0,2.12,3.25,3.81,1,0,0,1
Arsenal,Liverpool,21:15,2,1,4.52,4.22,1.72,1,0,0,0
Burnley,Wolves,19:00,1,1,4.61,3.27,1.93,0,1,0,0
Manchester City,Bournemouth,19:00,2,1,1.14,9.13,16.64,1,0,0,1
Newcastle,Tottenham,19:00,1,3,5.21,4.15,1.65,0,0,1,1
Chelsea,Norwich,21:15,1,0,1.13,9.49,20.68,1,0,0,1
Manchester Utd,Southampton,21:00,2,2,1.27,6.14,11.06,0,1,0,0
Bournemouth,Leicester,20:00,4,1,4.86,3.81,1.74,1,0,0,0
Tottenham,Arsenal,17:30,2,1,2.74,3.4,2.63,1,0,0,0
Aston Villa,Crystal Palace,15:15,2,0,2.36,3.39,3.11,1,0,0,1
Wolves,Everton,13:00,3,0,2.08,3.2,4.03,1,0,0,1
Brighton,Manchester City,21:00,0,5,11.98,6.75,1.23,0,0,1,1
Sheffield Utd,Chelsea,18:30,3,0,4.99,3.78,1.73,1,0,0,0
Liverpool,Burnley,16:00,1,1,1.22,6.83,12.96,0,1,0,0
Norwich,West Ham,13:30,0,4,3.64,3.52,2.07,0,0,1,1
Watford,Newcastle,13:30,2,1,1.91,3.54,4.28,1,0,0,1
Aston Villa,Manchester Utd,21:15,0,3,9.01,5.61,1.33,0,0,1,1
Bournemouth,Tottenham,19:00,0,0,4.78,3.9,1.73,0,1,0,0
Everton,Southampton,19:00,1,1,2.08,3.44,3.69,0,1,0,0
Brighton,Liverpool,21:15,1,3,6.07,4.04,1.58,0,0,1,1
Manchester City,Newcastle,19:00,5,0,1.1,10.67,22.39,1,0,0,1
Sheffield Utd,Wolves,19:00,1,0,4.13,3.06,2.11,1,0,0,0
West Ham,Burnley,19:00,0,1,1.86,3.62,4.33,0,0,1,0
Arsenal,Leicester,21:15,1,1,2.22,3.46,3.28,0,1,0,0
Crystal Palace,Chelsea,19:00,2,3,7.77,4.34,1.46,0,0,1,1
Watford,Norwich,19:00,2,1,1.74,3.74,4.91,1,0,0,1
Tottenham,Everton,21:00,1,0,1.96,3.62,3.9,1,0,0,1
